Date,Daily_Cases,Daily_Deaths
2021-10-15,4590.0,0.0
2021-10-16,0.0,0.0
2021-10-17,0.0,0.0
2021-10-18,114485.0,2240.0
2021-10-19,3782.0,1350.0
2021-10-20,44741.0,722.0
2021-10-21,0.0,0.0
2021-10-22,30774.0,406.0
2021-10-23,0.0,0.0
2021-10-24,0.0,0.0
2021-10-25,143197.0,2248.0
2021-10-26,0.0,854.0
2021-10-27,87526.0,1390.0
2021-10-28,0.0,0.0
2021-10-29,11057.0,0.0
2021-10-30,0.0,0.0
2021-10-31,0.0,0.0
2021-11-01,108798.0,1849.0
2021-11-02,0.0,588.0
2021-11-03,120343.0,1386.0
2021-11-04,0.0,0.0
2021-11-05,6825.0,1011.0
2021-11-06,0.0,0.0
2021-11-07,0.0,0.0
2021-11-08,184349.0,2191.0
2021-11-09,0.0,1191.0
2021-11-10,104115.0,262.0
2021-11-11,0.0,0.0
2021-11-12,78870.0,1321.0
2021-11-13,0.0,0.0
2021-11-14,0.0,0.0
2021-11-15,253307.0,2388.0
2021-11-16,0.0,496.0
2021-11-17,108384.0,1540.0
2021-11-18,6448.0,0.0
2021-11-19,0.0,0.0
2021-11-20,0.0,0.0
2021-11-21,0.0,0.0
2021-11-22,324863.0,2812.0
2021-11-23,0.0,559.0
2021-11-24,65312.0,560.0
2021-11-25,0.0,0.0
2021-11-26,16470.0,0.0
2021-11-27,0.0,0.0
2021-11-28,0.0,0.0
2021-11-29,352549.0,3021.0
2021-11-30,0.0,99.0
2021-12-01,101997.0,1217.0
2021-12-02,4773.0,921.0
2021-12-03,23601.0,0.0
2021-12-04,0.0,0.0
2021-12-05,0.0,1902.0
2021-12-06,283921.0,39.0
2021-12-07,0.0,264.0
2021-12-08,72097.0,574.0
2021-12-09,0.0,269.0
2021-12-10,0.0,0.0
2021-12-11,0.0,0.0
2021-12-12,0.0,0.0
2021-12-13,267333.0,2339.0
2021-12-14,0.0,800.0
2021-12-15,103377.0,1292.0
2021-12-16,4053.0,0.0
2021-12-17,23339.0,0.0
2021-12-18,0.0,0.0
2021-12-19,0.0,0.0
2021-12-20,325110.0,2932.0
2021-12-21,0.0,279.0
2021-12-22,155822.0,2812.0
2021-12-23,97545.0,0.0
2021-12-24,0.0,0.0
2021-12-25,0.0,0.0
2021-12-26,0.0,0.0
2021-12-27,766140.0,3138.0
2021-12-28,0.0,704.0
2021-12-29,368496.0,267.0
2021-12-30,245259.0,0.0
2021-12-31,0.0,0.0
2022-01-01,0.0,0.0
2022-01-02,0.0,0.0
2022-01-03,1419870.0,2418.0
2022-01-04,275046.0,2867.0
2022-01-05,0.0,0.0
2022-01-06,85213.0,0.0
2022-01-07,284416.0,0.0
2022-01-08,0.0,0.0
2022-01-09,0.0,0.0
2022-01-10,1246633.0,2849.0
2022-01-11,0.0,2193.0
2022-01-12,416247.0,0.0
2022-01-13,0.0,0.0
2022-01-14,129348.0,0.0
2022-01-15,0.0,0.0
2022-01-16,0.0,0.0
2022-01-17,606614.0,1996.0
2022-01-18,986791.0,2590.0
2022-01-19,318677.0,837.0
2022-01-20,0.0,0.0
2022-01-21,75823.0,317.0
2022-01-22,0.0,0.0
2022-01-23,0.0,0.0
2022-01-24,1249522.0,3741.0
2022-01-25,20954.0,1572.0
2022-01-26,107859.0,229.0
2022-01-27,0.0,0.0
2022-01-28,0.0,2040.0
2022-01-29,0.0,0.0
2022-01-30,0.0,0.0
2022-01-31,1682456.0,4871.0
2022-02-01,0.0,2253.0
2022-02-02,54913.0,0.0
2022-02-03,9432.0,0.0
2022-02-04,0.0,1528.0
2022-02-05,0.0,0.0
2022-02-06,0.0,0.0
2022-02-07,1211307.0,5123.0
2022-02-08,0.0,1694.0
2022-02-09,0.0,332.0
2022-02-10,381279.0,0.0
2022-02-11,0.0,105.0
2022-02-12,0.0,0.0
2022-02-13,0.0,0.0
2022-02-14,636944.0,5955.0
2022-02-15,0.0,0.0
2022-02-16,369016.0,2467.0
2022-02-17,0.0,0.0
2022-02-18,0.0,0.0
2022-02-19,0.0,0.0
2022-02-20,0.0,0.0
2022-02-21,512125.0,2168.0
2022-02-22,0.0,2503.0
2022-02-23,243764.0,1936.0
2022-02-24,0.0,0.0
2022-02-25,0.0,0.0
2022-02-26,0.0,0.0
2022-02-27,0.0,0.0
2022-02-28,556724.0,2967.0
2022-03-01,0.0,804.0
2022-03-02,61138.0,0.0
2022-03-03,115332.0,0.0
2022-03-04,0.0,523.0
2022-03-05,0.0,0.0
2022-03-06,0.0,0.0
2022-03-07,631727.0,3639.0
2022-03-08,0.0,0.0
2022-03-09,405881.0,1310.0
2022-03-10,0.0,0.0
2022-03-11,1619.0,0.0
2022-03-12,0.0,0.0
2022-03-13,0.0,0.0
2022-03-14,860265.0,2045.0
2022-03-15,0.0,17.0
2022-03-16,429459.0,1272.0
2022-03-17,0.0,194.0
2022-03-18,0.0,0.0
2022-03-19,0.0,0.0
2022-03-20,0.0,0.0
2022-03-21,919057.0,12805.0
2022-03-22,97338.0,0.0
2022-03-23,0.0,909.0
2022-03-24,0.0,0.0
2022-03-25,0.0,3905.0
2022-03-26,0.0,0.0
2022-03-27,0.0,0.0
2022-03-28,993536.0,1647.0
2022-03-29,0.0,166.0
2022-03-30,0.0,456.0
2022-03-31,0.0,0.0
2022-04-01,0.0,385.0
2022-04-02,0.0,0.0
2022-04-03,0.0,0.0
2022-04-04,540205.0,1483.0
2022-04-05,132047.0,791.0
2022-04-06,0.0,151.0
2022-04-07,58376.0,2.0
2022-04-08,0.0,0.0
2022-04-09,0.0,0.0
2022-04-10,0.0,0.0
2022-04-11,424714.0,1081.0
2022-04-12,133259.0,426.0
2022-04-13,0.0,787.0
2022-04-14,0.0,0.0
